Cluster ID	Gene ID|Swissprot Annotation	PFAM Annotations	NR Annotation	P value	Adjusted P Value	Average Log Fold Change	Percent Positive Cells in Cluster	Percent Positive Cells Outside of Cluster
ecEp-nem(id)	t16935aep	NA	PREDICTED: uncharacterized protein LOC100204915 [Hydra vulgaris]	2.32E-267	7.74E-263	0.997465667	0.96	0.23
ecEp-nem(id)	t10222aep|MYS_ARGIR	PF00063;PF01576;PF02736;PF04582	"PREDICTED: myosin heavy chain, striated muscle-like [Hydra vulgaris]"	4.68E-211	1.56E-206	0.993440302	0.987	0.34
ecEp-nem(id)	t587aep	PF02275	PREDICTED: uncharacterized protein LOC100207462 [Hydra vulgaris]	1.17E-281	3.92E-277	0.991754034	0.958	0.217
ecEp-nem(id)	t12881aep|FCA1_TRYRA	PF00036;PF13405;PF13499	PREDICTED: flagellar calcium-binding protein TB-44A-like [Hydra vulgaris]	0	0	0.991424919	0.808	0.098
ecEp-nem(id)	t7105aep	NA	NA	1.87E-159	6.25E-155	0.985533612	1	0.704
ecEp-nem(id)	t10690aep	NA	PREDICTED: uncharacterized protein LOC100205676 [Hydra vulgaris]	1.25E-237	4.17E-233	0.96620761	0.973	0.275
ecEp-nem(id)	t15816aep|SNED1_HUMAN	PF06119;PF00094;PF03782	PREDICTED: protein mesh-like [Hydra vulgaris]	0	0	0.961424238	0.802	0.129
ecEp-nem(id)	t3806aep	NA	PREDICTED: uncharacterized protein LOC105843885 [Hydra vulgaris]	1.08E-245	3.62E-241	0.95579384	0.584	0.096
ecEp-nem(id)	t30219aep|EGTB_MYCT3	PF03781	PREDICTED: uncharacterized protein LOC100211317 [Hydra vulgaris] >gi|828204265|ref|XP_012556212.1| PREDICTED: uncharacterized protein LOC100211317 [Hydra vulgaris]	1.31E-287	4.38E-283	0.94426016	0.746	0.137
ecEp-nem(id)	t17082aep	NA	NA	9.27E-217	3.09E-212	0.941951047	0.924	0.263
ecEp-nem(id)	t10876aep|GELS2_LUMTE	PF00626	PREDICTED: gelsolin-like protein 2 [Hydra vulgaris]	4.33E-295	1.45E-290	0.941456692	0.933	0.202
ecEp-nem(id)	t6432aep|FAXC_RAT	PF17172;PF17171;PF10568	PREDICTED: failed axon connections homolog [Hydra vulgaris]	2.70E-206	9.02E-202	0.939633217	0.935	0.287
ecEp-nem(id)	t11958aep	NA	NA	2.12E-222	7.10E-218	0.938834065	0.552	0.093
ecEp-nem(id)	t19452aep|LTBP4_HUMAN	PF07645;PF12947;PF12662;PF12661;PF00008;PF14670	PREDICTED: latent-transforming growth factor beta-binding protein 4-like [Hydra vulgaris]	1.89E-254	6.33E-250	0.936671341	0.922	0.222
ecEp-nem(id)	t37625aep	NA	NA	3.65E-263	1.22E-258	0.898301749	0.9	0.203
ecEp-nem(id)	t12447aep|PRPX_HORVU	NA	PREDICTED: pathogen-related protein-like [Hydra vulgaris]	1.74E-211	5.81E-207	0.885813961	0.797	0.193
ecEp-nem(id)	t4524aep	NA	"PREDICTED: uncharacterized protein LOC105848159, partial [Hydra vulgaris]"	1.34E-248	4.49E-244	0.880030981	0.94	0.235
ecEp-nem(id)	t25095aep	NA	PREDICTED: uncharacterized protein LOC105846759 [Hydra vulgaris]	1.44E-297	4.80E-293	0.878140472	0.889	0.182
ecEp-nem(id)	t4534aep	NA	PREDICTED: uncharacterized protein LOC100208018 [Hydra vulgaris] >gi|828198005|ref|XP_012554087.1| PREDICTED: uncharacterized protein LOC100208018 [Hydra vulgaris]	8.44E-269	2.82E-264	0.873369493	0.944	0.214
ecEp-nem(id)	t15313aep	PF05210	NA	1.49E-235	4.97E-231	0.867584687	0.784	0.181
ecEp-nem(id)	t15565aep|AZRB_BACOY	PF03358	PREDICTED: uncharacterized protein LOC100200582 [Hydra vulgaris]	1.48E-167	4.94E-163	0.862163118	0.998	0.779
ecEp-nem(id)	t38670aep|RADI_BOVIN	PF00373;PF09380;PF09379;PF00769	PREDICTED: radixin-like [Hydra vulgaris]	1.61E-236	5.39E-232	0.860008729	0.9	0.245
ecEp-nem(id)	t31389aep|SCRY4_ENTDO	PF14497;PF02798	PREDICTED: glutathione S-transferase-like [Hydra vulgaris]	1.16E-132	3.86E-128	0.85578154	0.955	0.58
ecEp-nem(id)	t37754aep	NA	NA	1.52E-241	5.06E-237	0.855255449	0.891	0.212
ecEp-nem(id)	t11860aep	NA	PREDICTED: uncharacterized protein LOC100215655 [Hydra vulgaris] >gi|828202942|ref|XP_012555773.1| PREDICTED: uncharacterized protein LOC100215655 [Hydra vulgaris] >gi|828202944|ref|XP_012555774.1| PREDICTED: uncharacterized protein LOC100215655 [Hydra vulgaris] >gi|828202946|ref|XP_012555775.1| PREDICTED: uncharacterized protein LOC100215655 [Hydra vulgaris]	1.13E-283	3.77E-279	0.851699973	0.878	0.193
ecEp-nem(id)	t12854aep	NA	"PREDICTED: mucin-3A-like, partial [Hydra vulgaris]"	7.28E-279	2.43E-274	0.847081862	0.873	0.189
ecEp-nem(id)	t32892aep	NA	PREDICTED: uncharacterized protein LOC100198284 [Hydra vulgaris]	7.32E-271	2.44E-266	0.846693118	0.88	0.189
ecEp-nem(id)	t7527aep	NA	PREDICTED: uncharacterized protein LOC105845806 [Hydra vulgaris]	4.19E-217	1.40E-212	0.846042274	0.875	0.238
ecEp-nem(id)	t13660aep|NAPEP_BOVIN	PF12706;PF13483	PREDICTED: N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D-like [Hydra vulgaris]	3.19E-145	1.06E-140	0.832157767	0.993	0.633
ecEp-nem(id)	t16440aep|AT1A_HYDVU	PF00122;PF00689;PF13246;PF00702;PF00690	Sodium/potassium-transporting ATPase subunit alpha-4 [Hydra vulgaris]	1.40E-259	4.67E-255	0.830461309	0.895	0.205
ecEp-nem(id)	t7288aep	PF12796;PF13637;PF13606;PF00023	PREDICTED: ankyrin repeat domain-containing protein 39 homolog [Hydra vulgaris]	1.79E-216	5.97E-212	0.830186644	0.746	0.166
ecEp-nem(id)	t27115aep|TMOD3_MOUSE	NA	PREDICTED: putative leucine-rich repeat-containing protein DDB_G0290503 [Hydra vulgaris]	1.34E-200	4.46E-196	0.827139336	0.92	0.276
ecEp-nem(id)	t12862aep|FA2H_MACFA	PF00173;PF04116	PREDICTED: LOW QUALITY PROTEIN: fatty acid 2-hydroxylase-like [Hydra vulgaris]	1.84E-226	6.15E-222	0.817343806	0.889	0.228
ecEp-nem(id)	t22979aep|HSP31_CANAL	PF01965;PF17124	PREDICTED: glutathione-independent glyoxalase hsp3102-like [Hydra vulgaris] >gi|828206189|ref|XP_012556865.1| PREDICTED: glutathione-independent glyoxalase hsp3102-like [Hydra vulgaris]	1.65E-214	5.53E-210	0.812290328	0.913	0.265
ecEp-nem(id)	t17081aep	NA	NA	2.24E-218	7.49E-214	0.807854533	0.866	0.227
ecEp-nem(id)	t4544aep	NA	PREDICTED: uncharacterized protein LOC100214616 [Hydra vulgaris]	1.12E-166	3.74E-162	0.803276633	0.891	0.351
ecEp-nem(id)	t14218aep	NA	PREDICTED: uncharacterized protein LOC100215046 [Hydra vulgaris]	8.73E-257	2.91E-252	0.790661275	0.895	0.203
ecEp-nem(id)	t5060aep|MYH10_RAT	PF01576	"PREDICTED: myosin heavy chain, embryonic smooth muscle isoform-like [Hydra vulgaris]"	3.57E-186	1.19E-181	0.79032551	0.898	0.289
ecEp-nem(id)	t35773aep|FRIS_LYMST	PF00210	PREDICTED: soma ferritin-like [Hydra vulgaris]	1.56E-141	5.19E-137	0.788844122	1	0.973
ecEp-nem(id)	t12916aep	NA	PREDICTED: uncharacterized protein LOC101234478 [Hydra vulgaris]	1.54E-244	5.13E-240	0.768338692	0.84	0.193
ecEp-nem(id)	t30117aep	PF04582	PREDICTED: golgin subfamily B member 1-like [Hydra vulgaris]	0	0	0.756935727	0.826	0.169
ecEp-nem(id)	t6390aep|TXNIP_PONAB	PF00339	PREDICTED: putative uncharacterized protein DDB_G0282133 [Hydra vulgaris]	0	0	0.753365181	0.793	0.105
ecEp-nem(id)	t21971aep	NA	NA	0	0	0.749511142	0.757	0.079
ecEp-nem(id)	t27538aep|B3GN4_HUMAN	PF01762	"PREDICTED: beta-1,3-galactosyltransferase 1-like [Hydra vulgaris]"	1.05E-196	3.50E-192	0.738923949	0.78	0.195
ecEp-nem(id)	t2497aep|MLRP2_ACRMI	PF00629;PF12947	PREDICTED: uncharacterized protein LOC100209198 isoform X1 [Hydra vulgaris]	1.80E-242	6.02E-238	0.735685371	0.853	0.192
ecEp-nem(id)	t20195aep|FUT3_BOVIN	PF00852;PF17039	PREDICTED: galactoside 3(4)-L-fucosyltransferase-like [Hydra vulgaris]	1.29E-223	4.31E-219	0.730292506	0.851	0.213
ecEp-nem(id)	t9541aep|MYPH_ECHGR	PF00307;PF00402	PREDICTED: myophilin-like [Hydra vulgaris]	4.59E-146	1.53E-141	0.729196664	0.962	0.437
ecEp-nem(id)	t12602aep|A4_CAEEL	PF12925;PF02177;PF12924;PF10515	PREDICTED: beta-amyloid-like protein [Hydra vulgaris]	2.89E-120	9.63E-116	0.72407901	0.998	0.738
ecEp-nem(id)	t1925aep	NA	PREDICTED: uncharacterized protein LOC100200796 [Hydra vulgaris]	2.86E-102	9.56E-98	0.723450959	0.873	0.39
ecEp-nem(id)	t5248aep|NMRL1_CHICK	PF05368;PF13460	PREDICTED: nmrA-like family domain-containing protein 1 [Hydra vulgaris] >gi|828193994|ref|XP_012564830.1| PREDICTED: nmrA-like family domain-containing protein 1 [Hydra vulgaris]	2.76E-225	9.22E-221	0.720856832	0.822	0.201
ecEp-nem(id)	t15075aep|HMCN1_HUMAN	PF00090	"PREDICTED: SCO-spondin-like, partial [Hydra vulgaris]"	1.42E-237	4.74E-233	0.715746483	0.895	0.217
ecEp-nem(id)	t19681aep|SPIR2_HUMAN	PF16474	PREDICTED: protein spire homolog 1-like [Hydra vulgaris]	5.58E-185	1.86E-180	0.714709303	0.786	0.207
ecEp-nem(id)	t26845aep	NA	NA	4.82E-191	1.61E-186	0.710368652	0.715	0.182
ecEp-nem(id)	t18156aep	NA	PREDICTED: uncharacterized protein LOC100208944 [Hydra vulgaris]	9.56E-135	3.19E-130	0.708776814	0.882	0.392
ecEp-nem(id)	t15825aep|Y023_RICCN	PF07719;PF00515;PF13424;PF13181;PF13414;PF13432	PREDICTED: uncharacterized protein PFB0145c-like [Hydra vulgaris]	1.16E-238	3.88E-234	0.707787416	0.78	0.166
ecEp-nem(id)	t29264aep|LAMP1_HUMAN	PF01299	PREDICTED: lysosome-associated membrane glycoprotein 1-like [Hydra vulgaris]	2.50E-145	8.36E-141	0.704337352	0.873	0.345
ecEp-nem(id)	t17956aep|FUCTA_DROME	PF00852;PF17039	PREDICTED: glycoprotein 3-alpha-L-fucosyltransferase A-like [Hydra vulgaris]	5.01E-201	1.67E-196	0.699808405	0.784	0.192
ecEp-nem(id)	t8481aep	NA	uncharacterized LOC100202208 precursor [Hydra vulgaris] >gi|281398314|gb|ADA67987.1| insulin-like peptide 3 [Hydra vulgaris]	4.20E-265	1.40E-260	0.699783723	0.797	0.162
ecEp-nem(id)	t2858aep|RIMB2_MOUSE	PF07653;PF14604;PF00018	PREDICTED: uncharacterized protein LOC100199386 [Hydra vulgaris]	2.41E-283	8.04E-279	0.697760434	0.733	0.142
ecEp-nem(id)	t12607aep|THIO_PLAF7	PF00085;PF13098	PREDICTED: thioredoxin-like [Hydra vulgaris]	7.63E-138	2.55E-133	0.697657655	1	0.93
ecEp-nem(id)	t8235aep|GAPR1_HUMAN	PF00188	PREDICTED: golgi-associated plant pathogenesis-related protein 1-like [Hydra vulgaris]	7.82E-102	2.61E-97	0.694732511	0.477	0.128
ecEp-nem(id)	t17571aep|AMT1_CAEEL	PF00909	"PREDICTED: putative ammonium transporter 1, partial [Hydra vulgaris]"	3.67E-249	1.23E-244	0.693882107	0.857	0.196
ecEp-nem(id)	t32180aep|MYLK_SHEEP	PF00069;PF07714	PREDICTED: calcium/calmodulin-dependent protein kinase type IV-like [Hydra vulgaris]	1.66E-211	5.56E-207	0.68511387	0.813	0.202
ecEp-nem(id)	t17291aep|PAPSS_URECA	PF01583;PF01747;PF14306	PREDICTED: bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase-like [Hydra vulgaris]	3.68E-114	1.23E-109	0.683830428	0.875	0.441
ecEp-nem(id)	t28211aep|INX3_DROME	PF00876	Innexin 3 [Hydra vulgaris]	6.13E-112	2.05E-107	0.680460332	0.976	0.603
ecEp-nem(id)	t2374aep|LIN41_CAEEL	PF01436	PREDICTED: E3 ubiquitin-protein ligase TRIM71-like [Hydra vulgaris]	7.72E-222	2.58E-217	0.674720365	0.771	0.172
ecEp-nem(id)	t21548aep|CRIP1_RAT	PF00412	PREDICTED: cysteine-rich protein 1-like [Hydra vulgaris]	7.07E-157	2.36E-152	0.673730983	0.837	0.284
ecEp-nem(id)	t21192aep|HUTH_HUMAN	PF00221;PF12053	PREDICTED: histidine ammonia-lyase-like [Hydra vulgaris]	5.56E-219	1.86E-214	0.670421799	0.726	0.162
ecEp-nem(id)	t12561aep	NA	PREDICTED: uncharacterized protein LOC100213604 [Hydra vulgaris]	1.60E-269	5.33E-265	0.670192122	0.782	0.154
ecEp-nem(id)	t14300aep|CALM_PLAFA	PF00036;PF13499;PF13405;PF13202;PF13833;PF14658;PF10591	PREDICTED: calmodulin-like [Hydra vulgaris]	1.07E-226	3.59E-222	0.66585372	0.621	0.114
ecEp-nem(id)	t27680aep	NA	NA	1.63E-288	5.43E-284	0.661347126	0.768	0.141
ecEp-nem(id)	t30286aep|TEF_MOUSE	PF07716;PF00170	PREDICTED: thyrotroph embryonic factor-like isoform X1 [Hydra vulgaris]	1.49E-250	4.97E-246	0.658112757	0.791	0.166
ecEp-nem(id)	t26438aep|IAAA_ECOLI	PF01112;PF00755;PF00152	PREDICTED: uncharacterized protein hychat-1 [Hydra vulgaris]	5.38E-214	1.80E-209	0.657878161	0.646	0.127
ecEp-nem(id)	t16644aep|B3GN4_HUMAN	PF01762	"PREDICTED: N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4-like [Hydra vulgaris]"	2.93E-285	9.79E-281	0.657617511	0.791	0.15
ecEp-nem(id)	t9559aep|CALB2_RAT	PF00036;PF13405;PF13499	PREDICTED: calbindin-like [Hydra vulgaris]	0	0	0.657099724	0.708	0.089
ecEp-nem(id)	t12887aep	NA	PREDICTED: protein phosphatase 1 regulatory subunit 12A-like [Hydra vulgaris] >gi|828197998|ref|XP_012554085.1| PREDICTED: protein phosphatase 1 regulatory subunit 12A-like [Hydra vulgaris]	1.16E-240	3.86E-236	0.655970661	0.793	0.168
ecEp-nem(id)	t12284aep|SYT7_HUMAN	PF00168	PREDICTED: synaptotagmin-7-like [Hydra vulgaris]	1.77E-286	5.92E-282	0.652333212	0.722	0.127
ecEp-nem(id)	t23352aep|GREM2_MOUSE	PF03045	hypothetical protein cypCar_00042532 [Cyprinus carpio]	3.04E-212	1.02E-207	0.651667588	0.802	0.186
ecEp-nem(id)	t28520aep	NA	NA	0	0	0.650326894	0.459	0.033
ecEp-nem(id)	t12863aep|TIMP3_SCYTO	PF00965	PREDICTED: metalloproteinase inhibitor 3-like [Hydra vulgaris]	3.22E-234	1.08E-229	0.650168258	0.724	0.146
ecEp-nem(id)	t38460aep	NA	PREDICTED: uncharacterized protein LOC105848394 [Hydra vulgaris]	1.43E-254	4.78E-250	0.649890675	0.717	0.141
ecEp-nem(id)	t5580aep|ABHDB_DANRE	PF00561;PF12697;PF12146	PREDICTED: alpha/beta hydrolase domain-containing protein 11-like [Hydra vulgaris]	3.43E-123	1.15E-118	0.648272641	0.817	0.325
ecEp-nem(id)	t27765aep|DLL1_XENLA	PF00046	PREDICTED: homeobox protein DLL-1-like [Hydra vulgaris]	6.37E-243	2.13E-238	0.645614876	0.811	0.175
ecEp-nem(id)	t32796aep|DUS16_HUMAN	PF00782	PREDICTED: dual specificity protein phosphatase 16-like [Hydra vulgaris]	5.40E-132	1.80E-127	0.642144053	0.898	0.356
ecEp-nem(id)	t21904aep	NA	PREDICTED: uncharacterized protein LOC105847026 [Hydra vulgaris]	5.78E-143	1.93E-138	0.641260248	0.938	0.392
ecEp-nem(id)	t17815aep|MVP_STRPU	PF01505;PF11978	PREDICTED: major vault protein-like [Hydra vulgaris]	1.02E-107	3.41E-103	0.639559999	0.982	0.723
ecEp-nem(id)	t3449aep|TSN11_MOUSE	PF00335	PREDICTED: CD151 antigen-like [Hydra vulgaris] >gi|828223965|ref|XP_012562800.1| PREDICTED: CD151 antigen-like [Hydra vulgaris]	7.03E-117	2.35E-112	0.63822589	0.982	0.466
ecEp-nem(id)	t11830aep	PF01284	PREDICTED: MARVEL domain-containing protein 1-like [Hydra vulgaris]	1.84E-205	6.15E-201	0.634341242	0.826	0.204
ecEp-nem(id)	t21313aep	NA	"PREDICTED: histone-lysine N-methyltransferase, H3 lysine-79 specific-like [Hydra vulgaris] >gi|828198234|ref|XP_012554169.1| PREDICTED: histone-lysine N-methyltransferase, H3 lysine-79 specific-like [Hydra vulgaris] >gi|828198236|ref|XP_012554170.1| PREDICTED: histone-lysine N-methyltransferase, H3 lysine-79 specific-like [Hydra vulgaris]"	1.62E-199	5.41E-195	0.633010482	0.855	0.218
ecEp-nem(id)	t5966aep	PF00170	PREDICTED: transcription factor kayak-like [Hydra vulgaris]	3.19E-241	1.07E-236	0.630841641	0.733	0.147
ecEp-nem(id)	t23136aep	NA	PREDICTED: mucin-3A-like [Hydra vulgaris]	3.76E-216	1.25E-211	0.625766448	0.733	0.158
ecEp-nem(id)	t18000aep	NA	PREDICTED: uncharacterized protein LOC100206920 [Hydra vulgaris]	2.76E-111	9.22E-107	0.623777311	0.913	0.418
ecEp-nem(id)	t7148aep	NA	NA	3.57E-121	1.19E-116	0.622513227	0.555	0.144
ecEp-nem(id)	t4239aep|LMIP_RAT	PF00822	PREDICTED: lens fiber membrane intrinsic protein-like [Hydra vulgaris] >gi|873757951|emb|CRX73238.1| Claudin-like 10 [Hydra vulgaris]	2.88E-235	9.63E-231	0.620209359	0.804	0.174
ecEp-nem(id)	t31713aep|TBA_NOTVI	PF00091;PF03953	PREDICTED: tubulin alpha chain-like [Hydra vulgaris]	3.02E-213	1.01E-208	0.616288688	0.962	0.275
ecEp-nem(id)	t28206aep|WHRN_HUMAN	PF00595	"PREDICTED: GATA zinc finger domain-containing protein 24-like, partial [Hydra vulgaris]"	8.84E-235	2.95E-230	0.612893246	0.748	0.153
ecEp-nem(id)	t21278aep|WHITE_CERCA	PF01061;PF00005	PREDICTED: protein white-like [Hydra vulgaris]	2.52E-211	8.40E-207	0.60883694	0.775	0.187
ecEp-nem(id)	t7662aep	PF01105	PREDICTED: transmembrane emp24 domain-containing protein 5-like [Hydra vulgaris]	3.24E-246	1.08E-241	0.608150375	0.759	0.155
ecEp-nem(id)	t11574aep|SPRE_BOVIN	NA	PREDICTED: sepiapterin reductase-like [Hydra vulgaris]	2.64E-216	8.83E-212	0.606752246	0.695	0.144
ecEp-nem(id)	t36310aep|CPI1_PIG	PF00031	PREDICTED: leukocyte cysteine proteinase inhibitor 1-like [Hydra vulgaris]	0	0	0.606268475	0.713	0.121
ecEp-nem(id)	t20374aep|TIMP3_XENLA	PF00965	PREDICTED: metalloproteinase inhibitor 3-like [Hydra vulgaris]	3.10E-136	1.03E-131	0.603542547	0.49	0.113
ecEp-nem(id)	t33599aep	NA	PREDICTED: golgin subfamily A member 6-like protein 22 [Hydra vulgaris]	9.08E-236	3.03E-231	0.602515229	0.808	0.172
ecEp-nem(id)	t4922aep	PF00876	innexin inx1-like [Hydra vulgaris] >gi|828223441|ref|XP_012562635.1| PREDICTED: innexin inx1-like isoform X1 [Hydra vulgaris] >gi|828223443|ref|XP_012562636.1| PREDICTED: innexin inx1-like isoform X1 [Hydra vulgaris] >gi|86769609|gb|ABD15177.1| innexin 1 [Hydra vulgaris]	9.28E-83	3.10E-78	0.600039672	0.996	0.62
ecEp-nem(id)	t20791aep|TALDO_RAT	PF00923	PREDICTED: transaldolase-like [Hydra vulgaris]	1.36E-138	4.55E-134	0.600038698	0.893	0.339
ecEp-nem(id)	t25062aep	NA	PREDICTED: uncharacterized protein LOC100206259 [Hydra vulgaris]	4.96E-178	1.66E-173	0.598485105	0.686	0.159
ecEp-nem(id)	t34328aep	NA	NA	1.03E-224	3.43E-220	0.597360893	0.78	0.169
ecEp-nem(id)	t12722aep|ALDH2_HUMAN	PF00171	"PREDICTED: aldehyde dehydrogenase, mitochondrial [Hydra vulgaris]"	9.44E-95	3.15E-90	0.593192791	0.911	0.533
ecEp-nem(id)	t29730aep|CHSTB_RAT	PF03567	PREDICTED: carbohydrate sulfotransferase 11-like [Hydra vulgaris]	3.07E-201	1.03E-196	0.592390292	0.782	0.183
ecEp-nem(id)	t12853aep|CALM_PNECA	PF00036;PF13499;PF13405;PF13833;PF13202	PREDICTED: calmodulin-like [Hydra vulgaris]	5.05E-98	1.68E-93	0.590306841	0.875	0.4
ecEp-nem(id)	t13752aep|MGT5B_HUMAN	PF15024	PREDICTED: uncharacterized protein LOC100200666 [Hydra vulgaris]	2.48E-219	8.29E-215	0.590233778	0.628	0.118
ecEp-nem(id)	t5068aep|APX1_HYDVD	PF00141	PREDICTED: putative ascorbate peroxidase [Hydra vulgaris] >gi|828221622|ref|XP_012562012.1| PREDICTED: putative ascorbate peroxidase [Hydra vulgaris]	1.72E-191	5.76E-187	0.588873858	0.644	0.14
ecEp-nem(id)	t21903aep	NA	PREDICTED: uncharacterized protein LOC105847026 [Hydra vulgaris]	1.58E-131	5.27E-127	0.582326597	0.862	0.329
ecEp-nem(id)	t18025aep|ECT_ACRMI	PF00188;PF01549	PREDICTED: putative tyrosinase-like protein tyr-3 [Hydra vulgaris]	2.70E-259	9.01E-255	0.578165078	0.737	0.14
ecEp-nem(id)	t20172aep|TPM1_HYDVU	PF00261	tropomyosin-1 [Hydra vulgaris] >gi|1351284|sp|P39921.2|TPM1_HYDVU RecName: Full=Tropomyosin-1; AltName: Full=Tropomyosin I >gi|806338|emb|CAA50188.1| Tropomyosin I [Hydra vulgaris]	8.35E-243	2.79E-238	0.576785159	0.775	0.159
ecEp-nem(id)	t27557aep|G3ST3_MOUSE	PF06990	PREDICTED: galactose-3-O-sulfotransferase 4-like [Hydra vulgaris]	2.20E-231	7.34E-227	0.57650306	0.693	0.136
ecEp-nem(id)	t19406aep|THSD1_HUMAN	PF00090	PREDICTED: adhesion G protein-coupled receptor B2 isoform X9 [Kryptolebias marmoratus]	7.79E-198	2.60E-193	0.5743809	0.771	0.184
ecEp-nem(id)	t21504aep|S12A2_MOUSE	PF03522;PF00324	PREDICTED: solute carrier family 12 member 2-like [Hydra vulgaris]	1.91E-184	6.39E-180	0.569195691	0.726	0.177
ecEp-nem(id)	t18308aep	NA	NA	1.43E-201	4.77E-197	0.567405904	0.586	0.112
ecEp-nem(id)	t81aep|LCAP_MOUSE	PF01433;PF11838	PREDICTED: leucyl-cystinyl aminopeptidase-like [Hydra vulgaris]	5.53E-209	1.85E-204	0.566951401	0.724	0.16
ecEp-nem(id)	t22328aep|VIPB_SALTI	PF16363;PF01370;PF01073;PF02719	PREDICTED: UDP-glucuronate 4-epimerase 3-like [Hydra vulgaris]	3.36E-231	1.12E-226	0.566710196	0.731	0.151
ecEp-nem(id)	t24768aep	NA	NA	4.40E-169	1.47E-164	0.56080103	0.69	0.166
ecEp-nem(id)	t25352aep	NA	NA	1.95E-186	6.51E-182	0.556182919	0.508	0.09
ecEp-nem(id)	t11481aep	NA	PREDICTED: uncharacterized protein PF14_0093-like [Hydra vulgaris]	0	0	0.555066466	0.659	0.095
ecEp-nem(id)	t27661aep	PF00582	PREDICTED: universal stress protein A-like protein [Hydra vulgaris]	1.56E-91	5.22E-87	0.553693152	0.871	0.398
ecEp-nem(id)	t1131aep|MYPH_ECHGR	PF00307;PF00402	PREDICTED: myophilin-like [Hydra vulgaris] >gi|828196927|ref|XP_012553700.1| PREDICTED: myophilin-like [Hydra vulgaris]	2.37E-86	7.91E-82	0.553463669	0.949	0.448
ecEp-nem(id)	t5118aep|FP_ACRMI	PF13927;PF07679;PF13895;PF00047;PF00041;PF07686	"Contactin 4, partial [Hydra vulgaris]"	2.52E-105	8.41E-101	0.552962825	0.766	0.313
ecEp-nem(id)	t10388aep|ZN570_HUMAN	PF13465;PF13894;PF00096;PF12171	transcription factor ZNF436 [Hydra vulgaris]	2.72E-168	9.07E-164	0.552872797	0.777	0.212
ecEp-nem(id)	t17278aep|OTX5A_XENLA	PF00046	PREDICTED: homeobox protein OTX2-like [Hydra vulgaris]	1.35E-211	4.52E-207	0.551972931	0.679	0.142
ecEp-nem(id)	t13202aep|DDC_CAVPO	PF00282;PF01212	PREDICTED: aromatic-L-amino-acid decarboxylase-like [Hydra vulgaris]	2.30E-244	7.66E-240	0.549639949	0.682	0.128
ecEp-nem(id)	t27459aep	NA	"PREDICTED: neurogenic locus notch homolog protein 1-like, partial [Hydra vulgaris]"	1.26E-150	4.21E-146	0.547374983	0.657	0.174
ecEp-nem(id)	t600aep	NA	NA	2.11E-163	7.04E-159	0.546818239	0.8	0.227
ecEp-nem(id)	t3021aep	NA	PREDICTED: putative histone-lysine N-methyltransferase 1 [Hydra vulgaris]	6.23E-213	2.08E-208	0.546692744	0.731	0.161
ecEp-nem(id)	t2062aep|OAT_DROME	PF00202	"PREDICTED: ornithine aminotransferase, mitochondrial-like [Hydra vulgaris]"	1.15E-119	3.84E-115	0.546691579	0.726	0.246
ecEp-nem(id)	t13674aep|SMAG2_MOUSE	PF00536	PREDICTED: protein Smaug homolog 1-like [Hydra vulgaris]	3.39E-103	1.13E-98	0.546671854	0.895	0.449
ecEp-nem(id)	t29625aep|ZO1_CANLF	PF00595;PF00791;PF13180	tight junction protein ZO-2-like [Hydra vulgaris] >gi|13506761|gb|AAK28322.1|AF230482_1 tight junction protein ZO-1 [Hydra vulgaris]	2.82E-98	9.43E-94	0.546452379	0.949	0.512
ecEp-nem(id)	t1663aep	NA	NA	6.27E-94	2.09E-89	0.545346344	0.795	0.335
ecEp-nem(id)	t15583aep|CAP_HYDVD	PF01213;PF08603	PREDICTED: adenylyl cyclase-associated protein-like [Hydra vulgaris]	4.88E-87	1.63E-82	0.541453025	0.969	0.679
ecEp-nem(id)	t22765aep|ADA10_BOVIN	PF13688;PF13574;PF13582;PF01562;PF00200	PREDICTED: disintegrin and metalloproteinase domain-containing protein 10-like [Hydra vulgaris]	5.72E-89	1.91E-84	0.539352065	0.967	0.664
ecEp-nem(id)	t23034aep	NA	PREDICTED: uncharacterized protein LOC101235103 [Hydra vulgaris]	3.44E-215	1.15E-210	0.533506814	0.657	0.131
ecEp-nem(id)	t21655aep|FLNC_HUMAN	PF00630;PF00307;PF11971	PREDICTED: filamin-A-like [Hydra vulgaris]	3.73E-190	1.24E-185	0.532706698	0.8	0.204
ecEp-nem(id)	t9612aep	NA	hypothetical protein AC249_AIPGENE19783 [Exaiptasia pallida]	2.16E-99	7.20E-95	0.530239704	0.882	0.451
ecEp-nem(id)	t9123aep	NA	NA	6.11E-212	2.04E-207	0.529973928	0.659	0.135
ecEp-nem(id)	t3aep|G3ST3_MOUSE	PF06990	PREDICTED: galactose-3-O-sulfotransferase 2-like isoform X1 [Hydra vulgaris]	1.35E-221	4.51E-217	0.528766218	0.65	0.127
